"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","overdose_rate","overdose_rate_lag"
"MO","2015","Missouri",6.075,8.261,0.177119341563786,0.74195,6.7544,8.1361,48.4042903615418,3.10134063033523,85.0768488835975,9.8,5.1,71660,60,12,193,265,17.9,18.2
"MO","2016","Missouri",6.091,8.608,0.192743391889673,0.8475,6.5394,8.1698,48.4042903615418,3.10134063033523,85.0768488835975,9,4.5,66010,67,14,205,286,23.6,17.9
"MO","2017","Missouri",6.111,8.824,0.193585337915235,0.8645,6.1682,8.3202,48.4042903615418,3.10134063033523,85.0768488835975,9.1,3.7,66660,61,11,185,257,23.4,23.6
"MO","2018","Missouri",6.126,9.032,0.184296441397323,1.0143,5.6799,8.6844,48.4042903615418,3.10134063033523,85.0768488835975,9.4,3.2,71350,61,11,201,273,27.5,23.4
"MO","2019","Missouri",6.14,9.431,0.166938110749186,0.9152,5.3558,8.8062,48.4539755573703,3.62067257938483,84.286805999112,10.1,3.2,69020,63,9,209,281,26.9,27.5
"MS","2015","Mississippi",2.99,7.777,0.251170568561873,0.62455,6.1892,5.874,47.801564499213,2.54497314122551,62.0856499433011,12.5,6.5,48460,16,38,45,99,12.3,11.6
"MS","2016","Mississippi",2.991,8.17,0.252089602139753,0.6159,5.4831,5.3619,47.801564499213,2.54497314122551,62.0856499433011,11.8,5.9,49310,17,26,52,95,12.1,12.3
"MS","2017","Mississippi",2.991,8.392,0.249414911400869,0.8127,4.8791,5.7715,47.801564499213,2.54497314122551,62.0856499433011,12.1,5.2,51030,16,22,51,89,12.2,12.1
"MS","2018","Mississippi",2.983,8.417,0.238350653704325,0.8195,4.7694,7.1683,47.801564499213,2.54497314122551,62.0856499433011,12.3,4.9,49450,22,23,53,98,10.8,12.2
"MS","2019","Mississippi",2.978,8.745,0.235392881128274,0.91005,4.7119,7.2055,47.7212044544853,2.83073403495588,60.8857351915489,12.9,5.5,51010,30,26,54,110,13.6,10.8
"MT","2015","Montana",1.031,8.344,0.127061105722599,0.76895,8.0422,10.1997,49.9609980448371,2.67961160130884,91.3613201908563,11.6,4.3,62210,9,18,39,66,13.8,12.4
"MT","2016","Montana",1.042,8.68,0.200575815738964,0.8774,7.366,11.3184,49.9609980448371,2.67961160130884,91.3613201908563,8.4,4.3,68480,8,18,38,64,11.7,13.8
"MT","2017","Montana",1.054,9.03,0.22865275142315,1.10655,7.6467,12.3598,49.9609980448371,2.67961160130884,91.3613201908563,9.1,4.1,67690,13,16,41,70,11.7,11.7
"MT","2018","Montana",1.062,9.354,0.241996233521657,1.17895,8.0118,13.3965,49.9609980448371,2.67961160130884,91.3613201908563,8.1,3.7,66670,17,17,38,72,12.2,11.7
"MT","2019","Montana",1.07,9.808,0.236448598130841,1.1734,7.8748,14.906,50.0675792138939,3.34829149999703,90.8022134124234,8.3,3.5,68560,30,14,44,88,14.1,12.2
"NC","2015","North Carolina",10.037,7.594,0.178340141476537,0.93555,6.5076,6.7237,48.0095415952431,6.88614380177,73.3427783458768,11.3,5.7,61490,222,34,184,440,15.8,13.8
"NC","2016","North Carolina",10.162,7.886,0.186675851210392,1.06965,5.6234,7.4308,48.0095415952431,6.88614380177,73.3427783458768,10.5,5.1,64510,260,35,194,489,19.7,15.8
"NC","2017","North Carolina",10.276,8.105,0.19200077851304,1.2012,4.9597,7.9157,48.0095415952431,6.88614380177,73.3427783458768,10.7,4.5,58420,252,36,184,472,24.1,19.7
"NC","2018","North Carolina",10.391,8.285,0.193436627851025,1.24945,4.6949,8.117,48.0095415952431,6.88614380177,73.3427783458768,10.9,4,61690,279,38,196,513,22.4,24.1
