"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total"
"KS","2023","Kansas",NA,NA,NA,0.865355861898732,11.4321415668373,12.8907537811907,NA,NA,NA,NA,2.9,84830,43,21,78,142
"KY","2015","Kentucky",4.429,8.306,0.27884398284037,1.1076,5.8569,6.8634,48.6794732939896,2.70292198452666,89.6173796107502,6.1,5.3,53250,144,8,182,334
"KY","2016","Kentucky",4.44,8.611,0.293693693693694,1.13925,5.947,7.1327,48.6794732939896,2.70292198452666,89.6173796107502,5.2,5.1,56500,169,8,186,363
"KY","2017","Kentucky",4.456,8.959,0.302962298025135,1.13265,5.7121,7.1139,48.6794732939896,2.70292198452666,89.6173796107502,5.5,4.8,60790,167,6,186,359
"KY","2018","Kentucky",4.464,9.332,0.296146953405018,1.05495,5.2802,7.946,48.6794732939896,2.70292198452666,89.6173796107502,5.6,4.2,65440,207,7,204,418
"KY","2019","Kentucky",4.472,9.744,0.286449016100179,1.14105,4.9593,8.4228,48.6862027573206,3.13459014894998,88.6587004844471,6.4,4.1,65800,227,5,217,449
"KY","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,5,221,477
"KY","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,18,250,469
"KY","2022","Kentucky",NA,NA,NA,1.26525,5.4472,10.107,49.653259638633,4.32122349749906,86.875990346408,5.4,4,58090,263,18,237,518
"KY","2023","Kentucky",NA,NA,NA,1.37776655724669,9.6061931668423,11.040807238976,NA,NA,NA,NA,4.3,61980,295,6,236,537
"LA","2015","Louisiana",4.667,8.201,0.272123419755732,1.0293,6.4005,6.1745,48.2792178589036,4.34734096392264,65.728555049658,12.1,6.3,57690,57,47,55,159
"LA","2016","Louisiana",4.681,8.542,0.297585985900449,1.0235,7.0396,6.4257,48.2792178589036,4.34734096392264,65.728555049658,10.2,6,52540,60,43,54,157
"LA","2017","Louisiana",4.674,8.984,0.322635857937527,1.03635,6.9264,6.9367,48.2792178589036,4.34734096392264,65.728555049658,8.3,5.1,53310,53,42,41,136
"LA","2018","Louisiana",4.664,9.217,0.322041166380789,0.89275,6.5703,7.8025,48.2792178589036,4.34734096392264,65.728555049658,7.9,4.8,59950,64,40,41,145
"LA","2019","Louisiana",4.658,9.657,0.31859167024474,0.924,6.8975,7.959,48.1220464530253,4.7087206824163,64.7029645673848,8.9,4.6,61120,69,42,35,146
"LA","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,45,37,155
"LA","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,56,40,176
"LA","2022","Louisiana",NA,NA,NA,1.1389,6.0422,8.0259,48.9597387152439,5.80006583532324,62.5009667248408,6.8,3.7,60640,116,63,50,229
"LA","2023","Louisiana",NA,NA,NA,1.49861223468023,11.5262095958051,13.8157233771989,NA,NA,NA,NA,3.7,57650,101,46,40,187
